time,cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%)
2025-01-01T00:00,100,100,100,100
2025-01-01T01:00,100,100,81,70
2025-01-01T02:00,100,100,55,30
2025-01-01T03:00,100,100,34,0
2025-01-01T04:00,100,89,22,0
2025-01-01T05:00,100,74,14,0
2025-01-01T06:00,100,65,13,0
2025-01-01T07:00,100,66,21,0
2025-01-01T08:00,100,73,36,0
2025-01-01T09:00,100,80,49,0
2025-01-01T10:00,100,86,58,0
2025-01-01T11:00,100,92,65,0
2025-01-01T12:00,100,92,68,0
2025-01-01T13:00,100,81,61,0
2025-01-01T14:00,100,65,49,0
2025-01-01T15:00,100,52,46,0
2025-01-01T16:00,100,47,62,0
2025-01-01T17:00,100,45,87,0
2025-01-01T18:00,100,46,100,0
2025-01-01T19:00,100,51,89,0
2025-01-01T20:00,100,58,67,0
2025-01-01T21:00,98,60,53,0
2025-01-01T22:00,97,50,58,0
2025-01-01T23:00,100,36,72,0
2025-01-02T00:00,94,27,84,0
2025-01-02T01:00,100,34,95,0
2025-01-02T02:00,98,46,100,0
2025-01-02T03:00,100,51,100,0
2025-01-02T04:00,100,37,72,0
2025-01-02T05:00,99,14,30,0
2025-01-02T06:00,91,0,0,0
2025-01-02T07:00,52,5,0,0
2025-01-02T08:00,6,19,0,0
2025-01-02T09:00,0,27,0,0
2025-01-02T10:00,2,21,3,0
2025-01-02T11:00,3,9,7,0
2025-01-02T12:00,0,0,10,0
2025-01-02T13:00,0,0,7,0
2025-01-02T14:00,2,0,3,0
2025-01-02T15:00,27,0,9,0
2025-01-02T16:00,7,0,38,0
2025-01-02T17:00,9,0,78,0
2025-01-02T18:00,99,0,100,0
2025-01-02T19:00,90,0,86,0
2025-01-02T20:00,35,0,55,0
2025-01-02T21:00,100,0,32,0
2025-01-02T22:00,99,0,26,0
2025-01-02T23:00,82,0,29,0
2025-01-03T00:00,94,0,38,0
2025-01-03T01:00,99,0,57,0
2025-01-03T02:00,56,0,82,0
2025-01-03T03:00,100,0,100,0
2025-01-03T04:00,34,0,100,0
2025-01-03T05:00,55,0,100,0
2025-01-03T06:00,92,0,100,0
2025-01-03T07:00,9,1,68,0
2025-01-03T08:00,2,3,25,0
2025-01-03T09:00,28,5,0,0
2025-01-03T10:00,90,6,12,0
2025-01-03T11:00,100,6,42,0
2025-01-03T12:00,93,6,59,0
2025-01-03T13:00,57,3,46,0
2025-01-03T14:00,0,0,20,0
2025-01-03T15:00,23,0,1,0
2025-01-03T16:00,1,10,0,0
2025-01-03T17:00,30,24,0,0
2025-01-03T18:00,31,33,0,0
2025-01-03T19:00,31,32,0,0
2025-01-03T20:00,14,25,0,0
2025-01-03T21:00,31,18,0,0
2025-01-03T22:00,54,12,28,0
2025-01-03T23:00,5,5,66,0
2025-01-04T00:00,34,0,88,0
2025-01-04T01:00,3,0,79,0
2025-01-04T02:00,0,0,55,0
2025-01-04T03:00,17,0,36,0
2025-01-04T04:00,71,0,30,0
2025-01-04T05:00,0,0,28,0
2025-01-04T06:00,45,0,26,0
2025-01-04T07:00,8,0,21,0
2025-01-04T08:00,0,0,14,0
2025-01-04T09:00,0,0,9,0
2025-01-04T10:00,0,0,4,0
2025-01-04T11:00,0,0,0,0
2025-01-04T12:00,84,0,0,0
2025-01-04T13:00,64,0,11,0
2025-01-04T14:00,0,0,26,0
2025-01-04T15:00,4,0,34,0
2025-01-04T16:00,23,0,25,0
2025-01-04T17:00,64,0,9,0
2025-01-04T18:00,84,0,0,0
2025-01-04T19:00,99,0,7,0
2025-01-04T20:00,99,0,21,0
2025-01-04T21:00,6,0,29,0
2025-01-04T22:00,42,4,23,0
2025-01-04T23:00,19,10,10,0
2025-01-05T00:00,19,13,0,0
2025-01-05T01:00,4,13,0,0
2025-01-05T02:00,0,10,0,0
2025-01-05T03:00,43,8,0,0
2025-01-05T04:00,0,7,0,0
2025-01-05T05:00,0,6,0,0
2025-01-05T06:00,0,5,0,0
2025-01-05T07:00,0,3,0,0
2025-01-05T08:00,0,1,0,0
2025-01-05T09:00,0,0,0,0
2025-01-05T10:00,0,0,0,0
2025-01-05T11:00,0,0,0,0
2025-01-05T12:00,0,0,0,0
2025-01-05T13:00,1,0,33,0
2025-01-05T14:00,0,0,76,0
2025-01-05T15:00,1,0,98,0
2025-01-05T16:00,7,3,76,0
2025-01-05T17:00,0,7,33,0
2025-01-05T18:00,0,11,0,0
2025-01-05T19:00,1,15,0,0
2025-01-05T20:00,10,18,0,0
2025-01-05T21:00,32,18,0,0
2025-01-05T22:00,56,13,26,30
2025-01-05T23:00,100,6,62,70
2025-01-06T00:00,100,0,88,100
2025-01-06T01:00,100,0,94,100
2025-01-06T02:00,100,0,90,100
2025-01-06T03:00,100,0,85,100
2025-01-06T04:00,100,0,83,93
2025-01-06T05:00,100,0,80,83
2025-01-06T06:00,98,0,80,78
2025-01-06T07:00,94,1,86,83
2025-01-06T08:00,100,2,94,93
2025-01-06T09:00,100,4,100,100
2025-01-06T10:00,100,6,100,100
2025-01-06T11:00,100,8,100,100
2025-01-06T12:00,100,11,100,100
2025-01-06T13:00,100,13,100,100
2025-01-06T14:00,100,16,100,100
2025-01-06T15:00,100,21,100,100
2025-01-06T16:00,100,28,100,100
2025-01-06T17:00,100,37,100,100
2025-01-06T18:00,100,48,100,100
2025-01-06T19:00,100,66,100,100
2025-01-06T20:00,100,86,100,100
2025-01-06T21:00,100,100,100,100
2025-01-06T22:00,100,100,100,100
2025-01-06T23:00,100,94,100,100
2025-01-07T00:00,100,90,100,100
2025-01-07T01:00,100,93,95,100
2025-01-07T02:00,100,99,87,100
2025-01-07T03:00,100,100,78,100
2025-01-07T04:00,100,95,70,71
2025-01-07T05:00,100,86,61,30
2025-01-07T06:00,100,72,50,1
2025-01-07T07:00,74,48,32,0
2025-01-07T08:00,97,20,11,0
2025-01-07T09:00,44,4,0,0
2025-01-07T10:00,1,14,7,0
2025-01-07T11:00,0,37,24,0
2025-01-07T12:00,5,51,43,0
2025-01-07T13:00,96,46,66,0
2025-01-07T14:00,94,32,90,0
2025-01-07T15:00,75,20,100,0
2025-01-07T16:00,100,12,84,0
2025-01-07T17:00,92,6,53,0
2025-01-07T18:00,43,2,28,0
2025-01-07T19:00,82,0,15,0
2025-01-07T20:00,23,0,6,0
2025-01-07T21:00,5,0,1,0
2025-01-07T22:00,1,0,0,0
2025-01-07T23:00,3,0,0,0
2025-01-08T00:00,3,0,0,0
2025-01-08T01:00,19,0,0,0
2025-01-08T02:00,69,0,0,0
2025-01-08T03:00,1,0,0,0
2025-01-08T04:00,18,0,0,0
2025-01-08T05:00,1,0,0,0
2025-01-08T06:00,3,0,0,0
2025-01-08T07:00,5,10,24,0
2025-01-08T08:00,10,24,56,0
2025-01-08T09:00,100,32,76,0
2025-01-08T10:00,100,29,73,0
2025-01-08T11:00,100,21,59,0
