#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,_result,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:11:27Z,2419.8625,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:12:27Z,2441.777,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:13:27Z,2451.7143,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:14:27Z,2462.0897,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:15:27Z,2367.1077,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:16:27Z,2340.1458,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:17:27Z,2414.1192,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:18:27Z,2261.6097,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:19:27Z,2240.9725,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:20:27Z,2246.8962,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:21:27Z,2242.7651,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:22:27Z,2254.1884,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:23:27Z,2243.2948,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:24:27Z,2243.5078,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:25:27Z,3085.7267,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:26:27Z,3130.6989,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:27:27Z,3118.6418,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:28:27Z,3128.3794,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:29:27Z,3131.6996,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:30:27Z,3146.8207,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:31:27Z,2284.544,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:32:27Z,1226.8531,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:33:27Z,1102.4802,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:34:27Z,1151.832,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:35:27Z,1130.2428,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:36:28Z,1130.9345,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:37:28Z,1081.233,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:38:28Z,1087.8364,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:39:28Z,1078.3896,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:40:28Z,1069.4406,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:41:28Z,1074.9167,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:42:28Z,1064.0478,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:43:28Z,1062.4436,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:44:28Z,1072.1851,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:45:28Z,1083.2055,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:46:28Z,1083.989,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:47:28Z,1072.5,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:48:28Z,1067.9541,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:49:28Z,1016.5716,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:50:28Z,994.9388,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:51:28Z,1054.043,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:52:28Z,1060.3985,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:53:28Z,2743.9782,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:54:28Z,1932.4514,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:55:28Z,1924.35,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:56:28Z,1916.025,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:57:28Z,1929.3815,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:58:28Z,1913.961,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T21:59:28Z,1022.0837,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T22:00:28Z,1069.3289,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T22:01:28Z,1082.3774,value,power.consumed
,,0,2025-05-21T20:33:27.714347914Z,2025-06-20T20:33:27.714347914Z,2025-06-07T22:02:28Z,1082.6892,value,power.consumed
